Vaga,Empresa,Pontuacao_Empresa,Numero_Avaliacoes,Localizacao_da_Vaga,Modelo,Salario,Link_Vaga
Pessoa Preparador De Setup,METARH,"4,5",140 avaliações,Cotia - SP,PCD Presencial,Salário a combinar,https://www.infojobs.com.br/vaga-de-pessoa-preparador-setup-em-sao-paulo__9331758.aspx
Auxiliar De Prevenção De Perdas,TENDA ATACADO,"4,2",3.790 avaliações,Carapicuíba - SP,Presencial,Salário a combinar,https://www.infojobs.com.br/vaga-de-auxiliar-prevencao-perdas-em-sao-paulo__9325580.aspx
Operador(A) De Empilhadeira - Temporário Em Salto De Pirapora - SP,MANPOWER STAFFING. (Matriz),"4,4",3.890 avaliações,Salto de Pirapora - SP,Presencial,"R$ 1.971,00 (Bruto mensal)",https://www.infojobs.com.br/vaga-de-operadora-empilhadeira-temporario-salto-pirapora-sp-em-sao-paulo__9324828.aspx
Técnico Em Nutrição,EMPRESA CONFIDENCIAL,Sem nota,EMPRESA CONFIDENCIAL,São Paulo - SP,Presencial,"R$ 1.800,00 a R$ 1.900,00 (Bruto mensal)",https://www.infojobs.com.br/vaga-de-tecnico-nutricao-em-sao-paulo__9326435.aspx
ESTÁGIO EM ATENDIMENTO AO CLIENTE/ADMINISTRATIVO - GUARULHOS - SP,Estagiando Centro de Estágio,Sem nota,Sem avaliações,Guarulhos - SP,Presencial,"R$ 1.000,00 (Bruto mensal)",https://www.infojobs.com.br/vaga-de-estagio-atendimento-ao-clienteadministrativo-guarulhos-sp-em-sao-paulo__9325495.aspx
Pessoa Assistente Administrativo - Faturamento,METARH,"4,5",140 avaliações,São Paulo - SP,Presencial,Salário a combinar,https://www.infojobs.com.br/vaga-de-pessoa-assistente-administrativo-faturamento-em-sao-paulo__9331742.aspx
ESTÁGIO ADMINISTRATIVO - PIRACICABA - SP,Estagiando Centro de Estágio,Sem nota,Sem avaliações,Piracicaba - SP,Presencial,"R$ 800,00 (Bruto mensal)",https://www.infojobs.com.br/vaga-de-estagio-administrativo-piracicaba-sp-em-sao-paulo__9325226.aspx
Auxiliar De Vidraceiro,Vidro Vivo,Sem nota,Sem avaliações,São Paulo - SP,Presencial,"R$ 1.500,00 a R$ 1.800,00 (Bruto mensal)",https://www.infojobs.com.br/vaga-de-auxiliar-vidraceiro-em-sao-paulo__9331476.aspx
"Supervisor De Obras - Ar Condicionado, Ventilação E Exaustão","São Paulo - SP, a 5,2 km de você.",Sem nota,Sem avaliações,São Paulo - SP,Modelo de trabalho não encontrado,Salário a combinar,Link não encontrado
Auxiliar Adm De Vendas Jr I,Premium Talents,Sem nota,Sem avaliações,Santana de Parnaíba - SP,Presencial,"R$ 1.691,00 (Bruto mensal)",https://www.infojobs.com.br/vaga-de-auxiliar-adm-vendas-jr-i-em-sao-paulo__9326542.aspx
Vendedor Sem Experiência.,Nome da empresa não encontrado,Sem nota,Sem avaliações,São Paulo - SP,Presencial,"R$ 1.800,00 a R$ 3.000,00 (Bruto mensal)",https://www.infojobs.com.br/vaga-de-vendedor-experiencia-em-sao-paulo__9326409.aspx
Jardineiro,Bourbon Destination Club,Sem nota,Sem avaliações,Atibaia - SP,Presencial,"R$ 1.900,00 a R$ 1.926,00 (Bruto mensal)",https://www.infojobs.com.br/vaga-de-jardineiro-em-sao-paulo__9154560.aspx
Operador Ou Operadora Multimodal,GRUPO SELPE,"4,4",348 avaliações,Praia Grande - SP,PCD Presencial,"R$ 2.172,00 a R$ 2.173,00 (Bruto mensal)",https://www.infojobs.com.br/vaga-de-operador-operadora-multimodal-em-sao-paulo__9323966.aspx
Coordenador Administrativo De Obras,EFFICO SANEAMENTO,Sem nota,"4,5",Rio de Janeiro - RJ,Presencial,Salário a combinar,https://www.infojobs.com.br/vaga-de-coordenador-administrativo-obras-em-rio-janeiro__9330573.aspx
Auxiliar Em Comércio De Churrasquinho,GISLAINE RODRIGUES,Sem nota,Sem avaliações,São Paulo - SP,Presencial,"R$ 800,00 a R$ 1.400,00 (Bruto mensal)",https://www.infojobs.com.br/vaga-de-auxiliar-comercio-churrasquinho-em-sao-paulo__9326620.aspx
Encarregado De Loja | Minimercado OXXO | Santos (Litoral),REDE INTEGRADA DE LOJAS DE CONVENIENCIA E PROXIMIDADE S.A.,"3,6",97 avaliações,Santos - SP,Presencial,Salário a combinar,https://www.infojobs.com.br/vaga-de-encarregado-loja-minimercado-oxxo-santos-litoral-em-sao-paulo__9324537.aspx
Babá Folguista - Jundiaí,ESTEL RECURSOS HUMANOS,Sem nota,Sem avaliações,São Paulo - SP,Presencial,"R$ 2.000,00 (Bruto mensal)",https://www.infojobs.com.br/vaga-de-baba-folguista-jundiai-em-sao-paulo__9325055.aspx
FUNDIDOR,POTENCY Rh,"4,2",39 avaliações,São Paulo - SP,Presencial,"R$ 2.508,00 (Bruto mensal)",https://www.infojobs.com.br/vaga-de-fundidor-em-sao-paulo__9325130.aspx
Operador De Máquina - Torcedeira/Buncher/Encordoadeira,BC CABOS,Sem nota,Sem avaliações,São Paulo - SP,Presencial,"R$ 1.800,00 a R$ 2.000,00 (Bruto mensal)",https://www.infojobs.com.br/vaga-de-operador-maquina-torcedeirabuncherencordoadeira-em-sao-paulo__9323946.aspx
Atendente De Suporte Técnico - Operador Telemarketing Call Center,"Guarulhos - SP, a 26,1 km de você.",Sem nota,Sem avaliações,Guarulhos - SP,Modelo de trabalho não encontrado,"R$ 1.523,00 a R$ 2.282,00 (Bruto mensal)",Link não encontrado
Consultor Comercial,RH Terra,Sem nota,"4,5",Rio de Janeiro - RJ,Híbrido,"R$ 1.800,00 (Bruto mensal)",https://www.infojobs.com.br/vaga-de-consultor-comercial-em-rio-janeiro__9330666.aspx
Assistente Administrativo Financeiro,Attua Seleção e Desenvolvimento,Sem nota,Sem avaliações,Rio de Janeiro - RJ,Presencial,"R$ 1.882,00 (Bruto mensal)",https://www.infojobs.com.br/vaga-de-assistente-administrativo-financeiro-em-rio-janeiro__9330484.aspx
Auxiliar De Serviços Gerais – Limpeza,SOULAN,"4,4",184 avaliações,São Paulo - SP,Presencial,Salário a combinar,https://www.infojobs.com.br/vaga-de-auxiliar-servicos-gerais-limpeza-em-sao-paulo__9325679.aspx
Manobrista Mooca - 15H As 23:20 5X1,Park Indigo Brasil,"4,0",2.451 avaliações,São Paulo - SP,Presencial,"R$ 1.900,00 a R$ 1.905,00 (Bruto mensal)",https://www.infojobs.com.br/vaga-de-manobrista-mooca-15h-as-2320-5x1-em-sao-paulo__9325568.aspx
ESTOQUISTA,"VAMOS LOCACAO DE CAMINHOES, MAQUINAS E EQUIPAMENTOS S.A.","4,0",21 avaliações,Ribeirão Preto - SP,Presencial,"R$ 1,00 a R$ 2,00 (Bruto mensal)",https://www.infojobs.com.br/vaga-de-estoquista-em-sao-paulo__9323905.aspx
Pintor Industrial,REFRAX SERVICOS INDUSTRIAIS LIMITADA,Sem nota,Sem avaliações,São Bernardo do Campo - SP,Presencial,"R$ 2.742,00 (Bruto mensal)",https://www.infojobs.com.br/vaga-de-pintor-industrial-em-sao-paulo__9324473.aspx
Acompanhante Comunitário - APS Santa Marcelina (Edital 15/2024) - Formação De Cadastro Reserva,HOSPITAL SANTA MARCELINA,"4,5",8.318 avaliações,São Paulo - SP,Presencial,"R$ 2.376,00 a R$ 2.640,00 (Bruto mensal)",https://www.infojobs.com.br/vaga-de-acompanhante-comunitario-aps-santa-marcelina-em-sao-paulo__9324338.aspx
Promotor De Vendas,OFICNA BRASIL,Sem nota,Sem avaliações,Campinas - SP,Presencial,"R$ 1.800,00 a R$ 2.000,00 (Bruto mensal)",https://www.infojobs.com.br/vaga-de-promotor-vendas-em-sao-paulo__9331746.aspx
Planejador De Manutenção,CBRE GWS DO BRASIL MANUNTENCAO E GERENCIAMENTO LTDA,"4,4",808 avaliações,São Paulo - SP,Presencial,Salário a combinar,https://www.infojobs.com.br/vaga-de-planejador-manutencao-em-sao-paulo__9326456.aspx
Consultor De Vendas,FACTA INTERMEDIACAO DE NEGOCIOS,Sem nota,Sem avaliações,São Roque - SP,Presencial,"R$ 1.837,00 (Bruto mensal)",https://www.infojobs.com.br/vaga-de-consultor-vendas-em-sao-paulo__9324335.aspx
VENDEDOR - REGIÃO CENTRAL,Direcional Engenharia SA,"4,4",2.436 avaliações,São Paulo - SP,Presencial,"R$ 4.000,00 a R$ 10.000,00 (Bruto mensal)",https://www.infojobs.com.br/vaga-de-vendedor-regiao-central-em-sao-paulo__9326446.aspx
Auxiliar De Vendas - SEM EXPERIÊNCIA (AD),Nome da empresa não encontrado,Sem nota,Sem avaliações,São Paulo - SP,Presencial,Salário a combinar,https://www.infojobs.com.br/vaga-de-auxiliar-vendas-experiencia-ad-em-sao-paulo__9325163.aspx
Analista De Recursos Humanos,GRUPO SRM,"4,0",884 avaliações,Itatiba - SP,Presencial,"R$ 3.300,00 (Bruto mensal)",https://www.infojobs.com.br/vaga-de-analista-recursos-humanos-em-sao-paulo__9325860.aspx
AUXILIAR DE LIMPEZA - SANTO ANDRÉ - SÃO PAULO,Grupo AMA,"4,2",251 avaliações,Santo André - SP,Presencial,"R$ 1.590,00 (Bruto mensal)",https://www.infojobs.com.br/vaga-de-auxiliar-limpeza-santo-andre-sao-paulo-em-sao-paulo__9324707.aspx
Planejador De Manutenção,CBRE GWS DO BRASIL MANUNTENCAO E GERENCIAMENTO LTDA,"4,4",808 avaliações,São Paulo - SP,Presencial,Salário a combinar,https://www.infojobs.com.br/vaga-de-planejador-manutencao-em-sao-paulo__9326456.aspx
OFICIAL LIMPEZA,ADECCO,"4,4",2.331 avaliações,Campinas - SP,Presencial,"R$ 1.450,00 a R$ 1.590,00 (Bruto mensal)",https://www.infojobs.com.br/vaga-de-oficial-limpeza-em-sao-paulo__9326005.aspx
Promotor De Merchandising - Com Moto - Interior De São Paulo,POLLY CONSULTORIA EM SERVICOS TERCEIRIZADOS,59 avaliações,"4,2",Todo Brasil,Presencial,"R$ 1.481,00 (Bruto mensal)",https://www.infojobs.com.br/vaga-de-promotor-merchandising-moto-interior-sao-paulo-em-__9331776.aspx
Vendedor Técnico,Nome da empresa não encontrado,Sem nota,Sem avaliações,São Paulo - SP,Presencial,"R$ 200,00 a R$ 10.000,00 (Bruto mensal)",https://www.infojobs.com.br/vaga-de-vendedor-tecnico-em-sao-paulo__9115754.aspx
Operador De Loja - PERDIZES Bourbon Shopping (SP),CACAU SHOW,"4,5",9.938 avaliações,São Paulo - SP,Presencial,"R$ 1.600,00 a R$ 1.882,00 (Bruto mensal)",https://www.infojobs.com.br/vaga-de-operador-loja-perdizes-bourbon-shopping-sp-em-sao-paulo__9325196.aspx
Assistente De Marketing Digital,EMPRESA CONFIDENCIAL,Sem nota,EMPRESA CONFIDENCIAL,São Paulo - SP,Híbrido,Salário a combinar,https://www.infojobs.com.br/vaga-de-assistente-marketing-digital-em-sao-paulo__9325964.aspx
"Analista De Compliance Regulatório SR - Banco - Híbrido - Pinheiros , SP",Nome da empresa não encontrado,Sem nota,Sem avaliações,São Paulo - SP,Híbrido,"R$ 8.000,00 a R$ 9.000,00 (Bruto mensal)","https://www.infojobs.com.br/vaga-de-analista-compliance-regulatorio-sr-banco-hibrido-pinheiros-,-sp-em-sao-paulo__9325666.aspx"
Operador De Vendas,SANTO NOME ASSESSORIA,Sem nota,Sem avaliações,Osasco - SP,Presencial,"R$ 1.550,00 a R$ 5.000,00 (Bruto mensal)",https://www.infojobs.com.br/vaga-de-operador-vendas-em-sao-paulo__9331688.aspx
ESTAGIARIO - CAIXA,SUPERMERCADO BARBOSA,"4,1",2.951 avaliações,Tatuí - SP,Presencial,Salário a combinar,https://www.infojobs.com.br/vaga-de-estagiario-caixa-em-sao-paulo__9324412.aspx
Servente De Obras,RHF TALENTOS,"4,5","4,5",Rio de Janeiro - RJ,PCD Presencial,"R$ 2.662,00 (Bruto mensal)",https://www.infojobs.com.br/vaga-de-servente-obras-em-rio-janeiro__9331584.aspx
Operador De Maquina,EMPRESA CONFIDENCIAL,Sem nota,EMPRESA CONFIDENCIAL,Santana de Parnaíba - SP,Presencial,Salário a combinar,https://www.infojobs.com.br/vaga-de-operador-maquina-em-sao-paulo__9285814.aspx
Consultor De Negócios - Externo,MP,Sem nota,Sem avaliações,Andradina - SP,Presencial,Salário a combinar,https://www.infojobs.com.br/vaga-de-consultor-negocios-externo-em-sao-paulo__9324929.aspx
REPOSITOR/CAIXA/ATENDENTE/EMPACOTADOR PCD - ZONA LESTE DE SP - INAUGURAÇÃO DE LOJA,Nome da empresa não encontrado,Sem nota,Sem avaliações,São Paulo - SP,PCD Presencial,"R$ 1.693,00 a R$ 2.102,00 (Bruto mensal)",https://www.infojobs.com.br/vaga-de-repositorcaixaatendenteempacotador-pcd-zona-leste-em-sao-paulo__9326500.aspx
Auxiliar De Serviços Gerais - Banheirista/ Call Center,Nome da empresa não encontrado,Sem nota,Sem avaliações,São Paulo - SP,Presencial,Salário a combinar,https://www.infojobs.com.br/vaga-de-auxiliar-servicos-gerais-banheirista-call-center-em-sao-paulo__9326592.aspx
CONTROLADOR DE ACESSO - VILA ANDRADE,GB Serviços,"4,8",8 avaliações,São Paulo - SP,Presencial,"R$ 1.600,00 a R$ 1.799,00 (Bruto mensal)",https://www.infojobs.com.br/vaga-de-controlador-acesso-vila-andrade-em-sao-paulo__9326164.aspx
Coordenador De Planejamento,EMPRESA CONFIDENCIAL,Sem nota,EMPRESA CONFIDENCIAL,São Paulo - SP,Presencial,Salário a combinar,https://www.infojobs.com.br/vaga-de-coordenador-planejamento-em-sao-paulo__9326252.aspx
Operador(A) De Empilhadeira - Temporário Em CANTAGALO - RJ,MANPOWER STAFFING. (Matriz),3.890 avaliações,"4,4",Cantagalo - RJ,Presencial,"R$ 1.800,00 (Bruto mensal)",https://www.infojobs.com.br/vaga-de-operadora-empilhadeira-temporario-cantagalo-rj-em-rio-janeiro__9330923.aspx
Eletricista De Manutenção,Grupo GPS,"4,2",9.026 avaliações,São Paulo - SP,Presencial,"R$ 2.030,00 a R$ 2.639,00 (Bruto mensal)",https://www.infojobs.com.br/vaga-de-eletricista-manutencao-em-sao-paulo__9324069.aspx
Auxiliar Técnico Em Laboratório / Colorista Textil,Timbre,394 avaliações,"4,3",Todo Brasil,Presencial,"R$ 2.150,00 (Bruto mensal)",https://www.infojobs.com.br/vaga-de-auxiliar-tecnico-laboratorio-colorista-textil-em-__9331540.aspx
Auxiliar Administrativo Pleno I,UMANA BRASIL,"4,2","4,2",Duque de Caxias - RJ,Presencial,Salário a combinar,https://www.infojobs.com.br/vaga-de-auxiliar-administrativo-pleno-i-em-rio-janeiro__9331778.aspx
Programador De CLP,RHF TALENTOS,"4,5",179 avaliações,São Paulo - SP,Presencial,"R$ 3.650,00 a R$ 4.750,00 (Bruto mensal)",https://www.infojobs.com.br/vaga-de-programador-clp-em-sao-paulo__9324779.aspx
Consultor De Vendas,UnittáSul Consultoria e Gestão de Pessoas Ltda,Sem nota,Sem avaliações,Mogi das Cruzes - SP,Presencial,"R$ 1.800,00 a R$ 2.000,00 (Bruto mensal)",https://www.infojobs.com.br/vaga-de-consultor-vendas-em-sao-paulo__9324226.aspx
Operador De Televendas - Bairro Ipiranga,NEO EMPREGOS,"4,0",54 avaliações,São Paulo - SP,Presencial,"R$ 1.320,00 a R$ 2.500,00 (Bruto mensal)",https://www.infojobs.com.br/vaga-de-operador-televendas-bairro-ipiranga-em-sao-paulo__9323956.aspx
Controlador De Acesso- SANTANA,EMPRESA CONFIDENCIAL,Sem nota,EMPRESA CONFIDENCIAL,São Paulo - SP,Presencial,"R$ 1.707,00 (Bruto mensal)",https://www.infojobs.com.br/vaga-de-controlador-acesso-santana-em-sao-paulo__9324507.aspx
Técnico Mecânica De Precisão,EMPRESA CONFIDENCIAL,Sem nota,EMPRESA CONFIDENCIAL,Cotia - SP,Presencial,"R$ 3.500,00 a R$ 4.500,00 (Bruto mensal)",https://www.infojobs.com.br/vaga-de-tecnico-mecanica-precisao-em-sao-paulo__9325615.aspx
Operador De Telemarketing,LIFE RECURSOS HUMANOS,"4,3",385 avaliações,Barueri - SP,Presencial,"R$ 1.000,00 a R$ 1.320,00 (Bruto mensal)",https://www.infojobs.com.br/vaga-de-operador-telemarketing-em-sao-paulo__9324184.aspx
Atendimento De SAC Na Área Da Saúde/ Farmacovigilância,PLURIS MIDIA,"4,4",2.008 avaliações,São Paulo - SP,Presencial,"R$ 2.106,00 (Bruto mensal)",https://www.infojobs.com.br/vaga-de-atendimento-sac-na-area-da-saude-farmacovigilancia-em-sao-paulo__9174805.aspx
Auxiliar De Vendas Externas,Employer RH,"4,5",818 avaliações,São Paulo - SP,Presencial,"R$ 1.984,00 a R$ 1.985,00 (Bruto mensal)",https://www.infojobs.com.br/vaga-de-auxiliar-vendas-externas-em-sao-paulo__9326214.aspx
Motorista Carreteiro,KADOSH RH,"3,8",21 avaliações,Jacareí - SP,Presencial,"R$ 2.700,00 (Bruto mensal)",https://www.infojobs.com.br/vaga-de-motorista-carreteiro-em-sao-paulo__9326116.aspx
Atendente,"São Paulo - SP, a 12,5 km de você.",Sem nota,Sem avaliações,São Paulo - SP,Modelo de trabalho não encontrado,Salário a combinar,Link não encontrado
Operador De Cobrança - Ativo,You Like - Treinamento e Desenvolvimento,"4,6",33 avaliações,Mauá - SP,Presencial,Salário a combinar,https://www.infojobs.com.br/vaga-de-operador-cobranca-ativo-em-sao-paulo__9188413.aspx
Comprador,Winner RH,"4,0",71 avaliações,São Paulo - SP,Presencial,"R$ 6.000,00 a R$ 8.000,00 (Bruto mensal)",https://www.infojobs.com.br/vaga-de-comprador-em-sao-paulo__9324623.aspx
"Vendedor Comercial - Com Ou Sem Experiência (Lapa, Pirituba)",EMPRESA CONFIDENCIAL,Sem nota,EMPRESA CONFIDENCIAL,São Paulo - SP,Presencial,"R$ 2.750,00 a R$ 5.780,00 (Bruto mensal)","https://www.infojobs.com.br/vaga-de-vendedor-comercial-ou-experiencia-lapa,-pirituba-em-sao-paulo__9324136.aspx"
Voxline - Zoetis Atendimento,Voxline,"4,0",2.911 avaliações,Barueri - SP,Presencial,"R$ 1.527,00 (Bruto mensal)",https://www.infojobs.com.br/vaga-de-voxline-zoetis-atendimento-em-sao-paulo__9325259.aspx
Promotor De Vendas,Compart,"4,5",960 avaliações,São Paulo - SP,Presencial,"R$ 1.483,00 (Bruto mensal)",https://www.infojobs.com.br/vaga-de-promotor-vendas-em-sao-paulo__9324588.aspx
Assistente De Compras,EMPRESA CONFIDENCIAL,Sem nota,EMPRESA CONFIDENCIAL,São Paulo - SP,Presencial,Salário a combinar,https://www.infojobs.com.br/vaga-de-assistente-compras-em-sao-paulo__9325462.aspx
CAIXA DE LOJA - REDE DE FAST FOOD- SHOPPING MORUMBI - DAS 14H AS 22H20- ESCLA 6X1,Nome da empresa não encontrado,Sem nota,Sem avaliações,São Paulo - SP,Presencial,"R$ 1.550,00 a R$ 1.660,00 (Bruto mensal)",https://www.infojobs.com.br/vaga-de-caixa-loja-rede-fast-food-shopping-morumbi-14h-as-em-sao-paulo__9325357.aspx
Técnico De Redes Pleno,ALGAR,"4,4",9.103 avaliações,São Paulo - SP,Híbrido,Salário a combinar,https://www.infojobs.com.br/vaga-de-tecnico-redes-pleno-em-sao-paulo__9326172.aspx
Vendedor - (SPA),Nome da empresa não encontrado,Sem nota,Sem avaliações,Todo Brasil,Presencial,"R$ 1.500,00 a R$ 3.000,00 (Bruto mensal)",https://www.infojobs.com.br/vaga-de-vendedor-spa-em-__9325200.aspx
Promotor De Merchandising - Com Moto - São Paulo / Grande São Paulo,POLLY CONSULTORIA EM SERVICOS TERCEIRIZADOS,"4,2",59 avaliações,São Paulo - SP,Presencial,"R$ 1.481,00 (Bruto mensal)",https://www.infojobs.com.br/vaga-de-promotor-merchandising-moto-sao-paulo-grande-sao-paulo-em-sao-paulo__9331769.aspx
SP - Zona Leste E Norte - Analista De Logística,ALLIS,"4,3",5.649 avaliações,São Paulo - SP,Presencial,"R$ 2.100,00 a R$ 2.110,00 (Bruto mensal)",https://www.infojobs.com.br/vaga-de-sp-zona-leste-norte-analista-logistica-em-sao-paulo__9325847.aspx
ESTÁGIO EM ANÁLISE DE MERCADO – IPIRANGA - SP,Estagiando Centro de Estágio,Sem nota,Sem avaliações,São Paulo - SP,Presencial,"R$ 1.200,00 (Bruto mensal)",https://www.infojobs.com.br/vaga-de-estagio-analise-mercado-ipiranga-sp-em-sao-paulo__9325314.aspx
Mecânico(A) De Automóveis - Oficina De Veículos Premium,DCN SOLUCOES EM RH,Sem nota,Sem avaliações,São Paulo - SP,Presencial,Salário a combinar,https://www.infojobs.com.br/vaga-de-mecanicoa-automoveis-oficina-veiculos-premium-em-sao-paulo__9331755.aspx
ENCARREGADO DE LOJA - ZONA LESTE,Dia Brasil Sociedade Limitada,"4,0",12.277 avaliações,São Paulo - SP,Presencial,Salário a combinar,https://www.infojobs.com.br/vaga-de-encarregado-loja-zona-leste-em-sao-paulo__9326376.aspx
Coordenador Pedagógico - Instrutor (A) Inglês,"São Paulo - SP, a 3,1 km de você.",Sem nota,Sem avaliações,São Paulo - SP,Modelo de trabalho não encontrado,"R$ 3.500,00 (Bruto mensal)",Link não encontrado
AJUDANTE GERAL LOGISTICA PCD - ZONA OESTE - RODOVIA ANHANGUERA,Nome da empresa não encontrado,Sem nota,Sem avaliações,São Paulo - SP,PCD Presencial,"R$ 1.790,00 a R$ 1.900,00 (Bruto mensal)",https://www.infojobs.com.br/vaga-de-ajudante-geral-logistica-pcd-zona-oeste-rodovia-anhanguera-em-sao-paulo__9331750.aspx
Coordenador De Equipe De Vendas,Nome da empresa não encontrado,Sem nota,Sem avaliações,São Paulo - SP,Presencial,"R$ 5.000,00 a R$ 5.200,00 (Bruto mensal)",https://www.infojobs.com.br/vaga-de-coordenador-equipe-vendas-em-sao-paulo__9326450.aspx
OPERADOR LOJA,CARREFOUR,"4,3",41.526 avaliações,São Paulo - SP,Presencial,Salário a combinar,https://www.infojobs.com.br/vaga-de-operador-loja-em-sao-paulo__9331732.aspx
Operador Atendimento I (VOZ) - DVA - OSASCO,CARREFOUR,"4,3",41.516 avaliações,São Paulo - SP,PCD Presencial,Salário a combinar,https://www.infojobs.com.br/vaga-de-operador-atendimento-i-voz-dva-osasco-em-sao-paulo__9326407.aspx
Atendente De Restaurante,QUINTAL DO ZE,Sem nota,Sem avaliações,São Paulo - SP,Presencial,"R$ 2.000,00 a R$ 2.059,00 (Bruto mensal)",https://www.infojobs.com.br/vaga-de-atendente-restaurante-em-sao-paulo__9326490.aspx
Empregada Doméstica,SECCO INDUSTRIA,Sem nota,Sem avaliações,São Paulo - SP,Presencial,"R$ 2.000,00 a R$ 2.059,00 (Bruto mensal)",https://www.infojobs.com.br/vaga-de-empregada-domestica-em-sao-paulo__9326089.aspx
Auxiliar De Limpeza Escolar - Sorocaba SP,Proz Educação,"4,3",56 avaliações,Sorocaba - SP,Presencial,Salário a combinar,https://www.infojobs.com.br/vaga-de-auxiliar-limpeza-escolar-sorocaba-sp-em-sao-paulo__9326503.aspx
Consultor Ativo De Vendas | Crédito Consignado | Seg A Sex,GRUPO MAIS VALOR,"2,0",1.594 avaliações,São Paulo - SP,Presencial,Salário a combinar,https://www.infojobs.com.br/vaga-de-consultor-ativo-vendas-credito-consignado-seg-sex-em-sao-paulo__9324574.aspx
Repositor De Loja,Gvr,"3,6",13 avaliações,São Paulo - SP,Presencial,"R$ 1.940,00 (Bruto mensal)",https://www.infojobs.com.br/vaga-de-repositor-loja-em-sao-paulo__8985311.aspx
Atendimento Interno- INICIO IMEDIATO.,Nome da empresa não encontrado,Sem nota,Sem avaliações,São Paulo - SP,Presencial,"R$ 1.600,00 a R$ 2.300,00 (Bruto mensal)",https://www.infojobs.com.br/vaga-de-atendimento-interno-inicio-imediato-em-sao-paulo__9326398.aspx
